-18.72 (6.195601962609958) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'sgd'}
0.78 (0.078822406145144) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'lbfgs'}
-10.77 (0.7095799849447612) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'adam'}
-20.49 (3.717842188569238) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}
0.78 (0.07306504650579897) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'lbfgs'}
-10.81 (1.8364420357544038) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'adam'}
-17.53 (1.6158192011373496) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'sgd'}
0.78 (0.08038226568643833) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'lbfgs'}
-10.44 (0.9717389341235584) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'adam'}
-20.11 (5.0173078808892635) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'sgd'}
0.79 (0.06768160653859986) with: {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'lbfgs'}
-7.67 (1.432313090195227) with: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}
-20.19 (5.562610241863895) with: {'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}
